Registro de contratos del Sector Público de Euskadi del 2017																																																																																			
																																																																																			
Fecha de última actualización	15/02/2017																																																																																		
																																																																																			
																																																																																			
Estado contrato	Título de contrato	Tipo de contrato	Año del contrato	Contrato menor	Ámbito	Tipo de administración	Tipo de administración Local	Poder adjudicador	Entidad impulsora	Órgano contratante	Entidad Tramitadora	Mesa de contratación	Objeto del contrato	Código identificador del contrato	Lugar de ejecución	¿Lugar ejecución principal en la Unión Europea?	NUTS	Países	Código CPV	¿Contratación por lotes?	¿Contratación mixto?	¿Acuerdo marco?	¿Contrato complementario?	¿Publicidad?	Fecha publicación en el BOE	Fecha publicación en el BOPV	Fecha publicación en el boletín de territorio histórico	Fecha publicación en el DOUE	Fecha publicación en el perfil de contratante	Anuncios prensa	Tramitación	Procedimiento de adjudicación	Criterios de valoración	Importe de licitación sin IVA	Importe de licitación con IVA	IVA del importe de licitación	Importe de adjudicación sin IVA	Importe de adjudicación con IVA	IVA del importe de adjudicación	Plazo de ejecución	Plazo de ejecución (meses)	¿Carácter plurianual?	Anualidad	¿Revisión de precios establecidos?	Nº de licitadores presentados	Adjudicatario	Fecha de adjudicación	Fecha de formalización	Observación de la adjudicación/ formalización del contrato en castellano	Observación de la adjudicación/ formalización del contrato en euskera	Fórmulas de revisión de precios	Clasificación exigida	Aportaciones públicas a la construcción	Plazo de concesión (meses)	Modalidad de contratación	Duración	Modalidad importe	Valor modalidad	Tipo de contrato de suministro	Precios unitarios	País de origen de los productos adquiridos	Modalidad de determinación del precio	Indicación del supuesto de aplicación que amparó el uso del procedimiento	Número de invitaciones	¿Indicador de ingreso?	Modalidad que determina el importe del contrato	Modificación del objeto	Modificación del plazo	Modificación del adjudicatario	Concepto castellano	Concepto euskera	Fecha acuerdo	Importe	Resolución contrato	Finalización contrato	Porcentaje	Participantes	Objeto de recurso	Régimen general	Supuestos especiales	Indemnización	Importe	Continuidad del contrato
Ejecución	SUMINISTRO DE PRODUCTOS ALIMENTICIOS: COLONIALES PARA LA ACADEMIA VASCA DE POLICIA Y EMERGENCIAS	Suministros	2015	No	CAPV	CCAA		Gobierno Vasco	Academia Vasca de Policía y Emergencias	Dirección de la Academia Vasca de Policía y Emergencias	Academia Vasca de Policía y Emergencias	Mesa de Contratación - Academía de Policía del País Vasco	Suministro de productos alimenticios: coloniales para la Academia Vasca de Policía y Emergencias	006/15334_00000000000000000000001		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:03222400-7,Descripción:Aceitunas,Principal:Si	Si	No	No	No	Si				09/10/2014	06/10/2014		Ordinaria	Abierto	Oferta más ventajosa	162.510,42	180.000	10%(Tipo de IVA reducido)	30.026,90	34.868	325.020,84		24	Si	Año:2015,Importe:17.434  Año:2016,Importe:17.434	No		Razón Social:AGUSTIN DOMINGUEZ RODRIGUEZ, S.L.,Nacionalidad:España,Provincia:Burgos,UTE:No	12/01/2015	12/01/2015																	No		Importe:17.434,Incremento/Decremento de plazo:12,Tipo modificación:Prórroga,Resolución:http://www.contratacion.euskadi.eus/y46aRevasconWar/datosContratosC/descargaResolucionOpenData?idModificacion=329&R01HNoPortal=true																No
Ejecución	SUMINISTRO DE PRODUCTOS ALIMENTICIOS: COLONIALES PARA LA ACADEMIA VASCA DE POLICIA Y EMERGENCIAS	Suministros	2015	No	CAPV	CCAA		Gobierno Vasco	Academia Vasca de Policía y Emergencias	Dirección de la Academia Vasca de Policía y Emergencias	Academia Vasca de Policía y Emergencias	Mesa de Contratación - Academía de Policía del País Vasco	Suministro de productos alimenticios: coloniales para la Academia Vasca de Policía y Emergencias	006/15334_00000000000000000000002		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:03222400-7,Descripción:Aceitunas,Principal:Si	Si	No	No	No	Si				09/10/2014	06/10/2014		Ordinaria	Abierto	Oferta más ventajosa	162.510,42	180.000	10%(Tipo de IVA reducido)	92.219,22	109.252	325.020,84		24	Si	Año:2015,Importe:54.626  Año:2016,Importe:54.626	No		Razón Social:PAIR S.L.,Nacionalidad:España,Provincia:Burgos,UTE:No	12/01/2015	12/01/2015																	No		Importe:54.626,Incremento/Decremento de plazo:12,Tipo modificación:Prórroga,Resolución:http://www.contratacion.euskadi.eus/y46aRevasconWar/datosContratosC/descargaResolucionOpenData?idModificacion=335&R01HNoPortal=true																No
Ejecución	SUMINISTRO DE PRODUCTOS ALIMENTICIOS: CARNES Y EMBUTIDOS PARA LA ACADEMIA VASCA DE POLICIA Y EMERGENCIAS	Suministros	2015	No	CAPV	CCAA		Gobierno Vasco	Academia Vasca de Policía y Emergencias	Dirección de la Academia Vasca de Policía y Emergencias	Academia Vasca de Policía y Emergencias	Mesa de Contratación - Academía de Policía del País Vasco	Suministro de productos alimenticios: carnes y embutidos para la Academia Vasca de Policía y Emergencias	010/15334_00000000000000000000002		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:15110000-2,Descripción:Carne,Principal:Si	Si	No	No	No	Si				09/10/2014	06/10/2014		Ordinaria	Abierto	Oferta más ventajosa	269.090,90	296.000	10%(Tipo de IVA reducido)	269.090,90	296.000	538.181,80		24	Si	Año:2016,Importe:148.000  Año:2015,Importe:148.000	No		Razón Social:GRUPO ALBERSA CARNES Y EMBUTIDOS S. L.,Nacionalidad:España,Provincia:Araba/Álava,UTE:No	24/02/2015	24/02/2015																	No		Importe:126.000,Incremento/Decremento de plazo:12,Tipo modificación:Prórroga,Resolución:http://www.contratacion.euskadi.eus/y46aRevasconWar/datosContratosC/descargaResolucionOpenData?idModificacion=336&R01HNoPortal=true																No
Ejecución	Suministro de munición de cal. 9mm, 5,56 y 7,62 mm	Suministros	2015	No	CAPV	CCAA		Gobierno Vasco	Seguridad	Dirección de Gestión Económica y Recursos Generales	Seguridad	Mesa de Contratación - Seguridad	Suministro de munición de cal. 9mm, 5,56mm  y 7,62mm	S-116/2015329_00000000000000000000001		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:35330000-6,Descripción:Municiones,Principal:Si	No	No	No	No	Si					23/09/2015		Ordinaria	Negociado	Precio más ventajoso	80.100	96.921		80.100	96.921			16	Si	Año:2015,Importe:29.645  Año:2016,Importe:67.276	No	1	Razón Social:ASAEY, S. L.,Nacionalidad:España,Provincia:Gipuzkoa,UTE:No	01/09/2015	03/09/2015																	No		Importe:72.690,Incremento/Decremento de plazo:12,Tipo modificación:Prórroga,Fecha resolución:15/12/2016,Fecha final:03/01/2018,Resolución:http://www.contratacion.euskadi.eus/y46aRevasconWar/datosContratosC/descargaResolucionOpenData?idModificacion=347&R01HNoPortal=true																No
Ejecución	Servicio de mantenimiento de las instalaciones de calefacción, agua caliente sanitaria y aire acondicionado de la Academia Vasca de Policía y Emergencias	Servicios	2015	No	CAPV	CCAA		Gobierno Vasco	Academia Vasca de Policía y Emergencias	Dirección de la Academia Vasca de Policía y Emergencias	Academia Vasca de Policía y Emergencias	Mesa de Contratación - Academía de Policía del País Vasco	Mantenimiento de las instalaciones de calefacción, agua caliente sanitaria y aire acondicionado de la Academia Vasca de Policía y Emergencias	021/15334_00000000000000000000002		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:50720000-8,Descripción:Servicios de reparación y mantenimiento de calefacción central,Principal:Si	No	No	No	No	Si					09/01/2015		Ordinaria	Abierto	Oferta más ventajosa	72.314,04	87.500		43.617	87.500	144.628,08		21	Si	Año:2015,Importe:37.500  Año:2016,Importe:50.000	No		Razón Social:UTE CONSERVACION ARKAUTE,Nacionalidad:España,Provincia:Bizkaia,UTE:No	12/05/2015	01/06/2015																	No		Importe:87.500,Incremento/Decremento de plazo:19,Tipo modificación:Prórroga,Fecha resolución:02/01/2017,Fecha final:31/07/2018,Resolución:http://www.contratacion.euskadi.eus/y46aRevasconWar/datosContratosC/descargaResolucionOpenData?idModificacion=388&R01HNoPortal=true																No
Ejecución	016.LO.2014: Contratación de obras de mantenimiento, reparación, conservación y mejora en los centros de comunicaciones gestionados por ITELAZPI, S.A.	Obras	2015	No	CAPV	Otros		Servicios de transporte y difusión de señales de radio, TV y otros servicios de telecomunicaciones.	ITELAZPI, S.A.	Consejo de Administración - ITELAZPI, S.A.	ITELAZPI, S.A.	Mesa de Contratación - ITELAZPI, S.A.	Contratación de obras de mantenimiento, reparación, conservación y mejora en los centros de comunicaciones	016.LO.2014200_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:45000000-7,Descripción:Trabajos de construcción,Principal:Si	Si	No	No	No	Si					03/11/2014		Ordinaria	Abierto	Oferta más ventajosa	1.230.000	1.488.300	21%(Tipo de IVA general)	420.000	508.200	2.580.000		22	No		No	7	Razón Social:AMINTEL S.L., CONSTRUCCIONES AMENABAR S.A., CONSTRUCCIONES LAUGAS, S.A., UNIÓN TEMPORAL DE EMPRESAS, LEY 18/1982, abreviadamente UTE ITELAZPI 2015,Nacionalidad:España,Provincia:Gipuzkoa,UTE:No	06/03/2015	16/03/2015	El importe de adjudicación indicado es una estimación del precio. El precio del contrato queda determinado conforme a los precios unitarios de adjudicación.	Adierazitako esleipen-zenbatekoa aurreikusitako kopurua da. Kontratuaren zenbatekoa esleipenaren banakako prezioen arabera zehazten baita.															No	Precios Unitarios	Importe:0,Incremento/Decremento de plazo:12,Tipo modificación:Prórroga,Fecha resolución:20/12/2016,Fecha final:31/12/2017,Ref. num expediente:016.LO.2014_l.2_Prórroga 2017,Descripción castellano:Prórroga del contrato. Duración: 01/01/2017-31/12/2017.,Descripción euskera:Kontratuaren luzapena. Iraupena: 2017/01/01 - 2017/12/31.																No
Ejecución	016.LO.2014: Contratación de obras de mantenimiento, reparación, conservación y mejora en los centros de comunicaciones gestionados por ITELAZPI, S.A.	Obras	2015	No	CAPV	Otros		Servicios de transporte y difusión de señales de radio, TV y otros servicios de telecomunicaciones.	ITELAZPI, S.A.	Consejo de Administración - ITELAZPI, S.A.	ITELAZPI, S.A.	Mesa de Contratación - ITELAZPI, S.A.	Contratación de obras de mantenimiento, reparación, conservación y mejora en los centros de comunicaciones	016.LO.2014200_00000000000000000000002		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:45000000-7,Descripción:Trabajos de construcción,Principal:Si	Si	No	No	No	Si					03/11/2014		Ordinaria	Abierto	Oferta más ventajosa	1.230.000	1.488.300	21%(Tipo de IVA general)	810.000	980.100	2.580.000		22	No		No	7	Razón Social:CONSTRUCCIONES LEGASKO, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	06/03/2015	16/03/2015	El importe de adjudicación indicado es una estimación. El precio del contrato quedará determinado conforme a los precios unitarios de adjudicación.	Adierazitako esleipen-zenbatekoa aurreikusitako kopurua da. Kontratuaren prezioan esleipenaren banakako prezioen arabera zehazten baita.															No	Precios Unitarios	Importe:0,Incremento/Decremento de plazo:12,Tipo modificación:Prórroga,Fecha resolución:20/12/2016,Fecha final:31/12/2017,Ref. num expediente:016.LO.2016_Lote 1 y  3_Prórroga 2017,Descripción castellano:Prórroga del contrato. Duración: 01/01/2017-31/12/2017.,Descripción euskera:kontratuaren luzapena. Iraupena: 2017/01/01-2017/12/31.																No
Ejecución	Expte.: 008.SO.2015: Servicio de limpieza de la sede corporativa de ITELAZPI, S.A.	Servicios	2015	No	CAPV	Otros		Servicios de transporte y difusión de señales de radio, TV y otros servicios de telecomunicaciones.	ITELAZPI, S.A.	Director/a - ITELAZPI, S.A.	ITELAZPI, S.A.		Servicio de limpieza de la sede corporativa de ITELAZPI, S.A.	008.SO.2015200_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:90919200-4,Descripción:Servicios de limpieza de oficinas,Principal:Si	No	No	No	No	Si					09/12/2015		Ordinaria	Negociado	Oferta más ventajosa	28.000	33.880	21%(Tipo de IVA general)	26.781	32.405	56.000		13	No		No	3	Razón Social:UNIÓN INTERNACIONAL DE SERVICIOS INTEGRALES UNI2, S.A.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	04/12/2015	04/12/2015	Importe de adjudicación: El precio del contrato asciende a 26.781,00,- euros (IVA no incluido)/año, importe determinado conforme a los precios unitarios de la oferta económica.  La fecha de suscripción del contato es el 04/12/2015, no obstante el contrato entra en vigor el 01/01/2016 hasta el 31/12/2016, pudiendo ser prorrogado por un año más.	Esleitutako zenbatekoa: Kontratuaren prezioa  26.781,00,- eurokoa da (BEZ-a kanpo) urtero. Adierazitako zenbatekoa esleitutako banakako prezioen arabera zehaztu da.  Kontratuaren sinadura data: 2015/12/04 da, baina, 2016/01/01 ean indarrean sartzen da.															No		Importe:0,Incremento/Decremento de plazo:12,Tipo modificación:Prórroga,Fecha resolución:15/12/2016,Fecha final:31/12/2017,Ref. num expediente:008.SO.2015_PRÓRROGA 2017,Descripción castellano:15/12/2016:Formalización prórroga 2017 Plazo:01/01/2017-31/12/2017.,Descripción euskera:2016/12/15:2017. urterako luzapenaren formalizazioa.Epea:2017/01/01-2017/12/31.																No
Ejecución	Contratación de los servicios profesionales para el mantenimiento de soluciones horizontales y vigilancia tecnológica. EXPEDIENTE PREPARADO EXCLUSIVAMENTE PARA LICITACIÓN ELECTRÓNICA.	Servicios	2016	No	CAPV	Otros		EJIE, S.A. - Sociedad Informática del Gobierno Vasco	EJIE-Sociedad Informática del Gobierno Vasco	Director General, Presidente, Vicepresidente del Consejo de Administración o Consejo de Administración, según las Instrucciones Internas de Contratación de EJIE, S.A.	EJIE-Sociedad Informática del Gobierno Vasco	Mesa de Contratación - EJIE - Sociedad Informática del Gobierno Vasco	Contratación de los servicios profesionales para el mantenimiento de soluciones horizontales y vigilancia tecnológica.	078/2015181_00000000000000000000001		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:72200000-7,Descripción:Servicios de programación de software y de consultoría,Principal:Si	No	No	No	No	Si				10/11/2015	05/11/2015		Ordinaria	Abierto	Oferta más ventajosa	180.000	217.800	21%(Tipo de IVA general)	166.400	201.344	360.000		12	No		No	2	Razón Social:GRUPO CORPORATIVO GFI NORTE, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	12/02/2016	17/02/2016																	No		Importe:201.344,Incremento/Decremento de plazo:0,Tipo modificación:Prórroga,Descripción castellano:Prórroga del Pedido 1602044.,Descripción euskera:1602044 eskaeraren luzapena.																No
Ejecución	Planificación y compra de espacios publicitarios en prensa, radio, televisión y publicidad exterior.	Servicios	2016	No	CAPV	CCAA		Gobierno Vasco	Medio Ambiente y Política Territorial	Dirección de Servicios	Medio Ambiente y Política Territorial	Mesa de Contratación - Medio Ambiente y Política Territorial	Planificación y compra de espacios publicitarios en prensa, radio, televisión y publicidad exterior.	025SV/2015331_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:79341200-8,Descripción:Servicios de gestión publicitaria,Principal:Si	No	No	No	No	Si					20/10/2015		Ordinaria	Abierto	Oferta más ventajosa	371.900,83	450.000	21%(Tipo de IVA general)	371.900,83	450.000	818.181,83		12	Si	Año:2016,Importe:375.000  Año:2017,Importe:75.000	No	3	Razón Social:PUBLICIDAD HEDATU, S.L.U.,Nacionalidad:España,Provincia:Gipuzkoa,UTE:No	03/03/2016	30/03/2016																	No		Importe:450.000,Incremento/Decremento de plazo:12,Tipo modificación:Prórroga,Fecha resolución:17/01/2017,Fecha final:30/03/2018,Ref. num expediente:001SV/2017,Descripción castellano:PRIMERA PRÓRROGA,Resolución:http://www.contratacion.euskadi.eus/y46aRevasconWar/datosContratosC/descargaResolucionOpenData?idModificacion=380&R01HNoPortal=true																No
