Apellidos, Nombre;Fecha Inicio abono;Fecha Fin abono;Retribuciones;Cargo Público;Cód. Centro Orgánico;Centro Orgánico;Código Organo;Órgano;Código Dpto;Departamento;Fecha Inicio Relación;Fecha Fin Relación;Fecha Actualización
ABURTO ERDOIZA, JOSEBA IMANOL;01/01/2014;27/02/2014;10.622,12 €;DIRECTOR/A;003230000;DIRECCIÓN DE INTERNACIONALIZACIÓN;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;18/01/2013;27/02/2014;30/11/2015
ABURTO RIQUE, JUAN MARIA;01/01/2014;31/12/2014;89.312,09 €;CONSEJERO/A DEL DEPARTAMENTO;004000000;CONSEJERÍA;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;17/12/2012;09/02/2015;30/11/2015
ABURTO RIQUE, JUAN MARIA;01/01/2015;09/02/2015;10.136,91 €;CONSEJERO/A DEL DEPARTAMENTO;004000000;CONSEJERÍA;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;17/12/2012;09/02/2015;22/06/2016
AGIRRE BERRIOTXOA, MIREN ITZIAR;01/01/2014;31/12/2014;67.087,04 €;DIRECTOR/A;005410000;DIRECCION DE ADMINISTRACIÓN TRIBUTARIA;005;Departamento de Hacienda y Finanzas;05;05 - HACIENDA Y FINANZAS;18/01/2013;;30/11/2015
AGIRRE BERRIOTXOA, MIREN ITZIAR;01/01/2015;31/12/2015;67.087,02 €;DIRECTOR/A;005410000;DIRECCION DE ADMINISTRACIÓN TRIBUTARIA;005;Departamento de Hacienda y Finanzas;05;05 - HACIENDA Y FINANZAS;18/01/2013;;22/06/2016
AGIRRE BERRIOTXOA, MIREN ITZIAR;01/01/2016;31/12/2016;67.757,90 €;DIRECTOR/A;005410000;DIRECCION DE ADMINISTRACIÓN TRIBUTARIA;005;Departamento de Hacienda y Finanzas;05;05 - HACIENDA Y FINANZAS;18/01/2013;;23/06/2017
AGIRRE ORCAJO, JAVIER;01/01/2014;31/12/2014;79.124,86 €;DIRECTOR/A GENERAL DE LA SOCIEDAD;171010000;IHOBE, S.A., Sociedad Pública de Gestión Ambiental;171;IHOBE, S.A., Sociedad Pública de Gestión Ambiental;09;09 - MEDIO AMBIENTE Y POLÍTICA TERRITORIAL;15/03/2013;;30/11/2015
AGIRRE ORCAJO, JAVIER;01/01/2015;31/12/2015;80.678,43 €;DIRECTOR/A GENERAL DE LA SOCIEDAD;171010000;DIRECCIÓN GENERAL / GERENCIA;171;IHOBE, S.A., Sociedad Pública de Gestión Ambiental;09;09 - MEDIO AMBIENTE Y POLÍTICA TERRITORIAL;15/03/2013;;22/06/2016
AGIRRE ORCAJO, JAVIER;01/01/2016;23/12/2016;79.711,11 €;DIRECTOR/A GENERAL DE LA SOCIEDAD;171010000;DIRECCIÓN GENERAL / GERENCIA;171;IHOBE, S.A., Sociedad Pública de Gestión Ambiental;09;09 - MEDIO AMBIENTE Y POLÍTICA TERRITORIAL;15/03/2013;23/12/2016;23/06/2017
AGOTE ALBERRO, IMANOL;01/01/2014;31/12/2014;72.842,85 €;DIRECTOR/A;006610000;DIRECCIÓN DE PATRIMONIO CULTURAL;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;10/01/2013;;30/11/2015
